M,0,0,71
M,0,1,25
M,0,2,52
M,0,3,37
M,0,4,100
M,0,5,29
M,0,6,35
M,0,7,17
M,0,8,12
M,0,9,58
M,0,10,20
M,0,11,72
M,0,12,8
M,0,13,24
M,0,14,99
M,0,15,71
M,0,16,47
M,0,17,98
M,0,18,93
M,0,19,75
M,0,20,14
M,0,21,83
M,0,22,42
M,0,23,45
M,0,24,21
M,0,25,58
M,0,26,0
M,0,27,71
M,0,28,19
M,0,29,35
M,0,30,32
M,0,31,5
M,0,32,29
M,0,33,4
M,0,34,41
M,0,35,50
M,0,36,55
M,0,37,20
M,0,38,69
M,0,39,73
M,0,40,22
M,0,41,27
M,0,42,80
M,0,43,89
M,0,44,62
M,0,45,17
M,0,46,49
M,0,47,10
M,0,48,74
M,0,49,76
M,0,50,4
M,0,51,74
M,0,52,57
M,0,53,40
M,0,54,19
M,0,55,47
M,0,56,19
M,0,57,84
M,0,58,92
M,0,59,76
M,0,60,87
M,0,61,40
M,0,62,0
M,0,63,39
M,0,64,28
M,0,65,48
M,0,66,6
M,0,67,53
M,0,68,17
M,0,69,56
M,0,70,21
M,0,71,0
M,0,72,96
M,0,73,69
M,0,74,83
M,0,75,52
M,0,76,82
M,0,77,20
M,0,78,3
M,0,79,33
M,0,80,82
M,0,81,83
M,0,82,78
M,0,83,93
M,0,84,35
M,0,85,31
M,0,86,81
M,0,87,44
M,0,88,39
M,0,89,75
M,0,90,18
M,0,91,45
M,0,92,49
M,0,93,18
M,0,94,52
M,0,95,21
M,0,96,82
M,0,97,66
M,0,98,9
M,0,99,52
M,1,0,16
M,1,1,16
M,1,2,96
M,1,3,38
M,1,4,29
M,1,5,49
M,1,6,6
M,1,7,45
M,1,8,70
M,1,9,20
M,1,10,34
M,1,11,60
M,1,12,19
M,1,13,32
M,1,14,54
M,1,15,88
M,1,16,2
M,1,17,25
M,1,18,69
M,1,19,88
M,1,20,39
M,1,21,40
M,1,22,19
M,1,23,4
M,1,24,60
M,1,25,12
M,1,26,11
M,1,27,94
M,1,28,95
M,1,29,66
M,1,30,35
M,1,31,6
M,1,32,65
M,1,33,11
M,1,34,87
M,1,35,78
M,1,36,17
M,1,37,34
M,1,38,90
M,1,39,57
M,1,40,94
M,1,41,28
M,1,42,13
M,1,43,25
M,1,44,38
M,1,45,62
M,1,46,66
M,1,47,28
M,1,48,45
M,1,49,35
M,1,50,23
M,1,51,49
M,1,52,95
M,1,53,41
M,1,54,6
M,1,55,49
M,1,56,9
M,1,57,18
M,1,58,80
M,1,59,66
M,1,60,25
M,1,61,29
M,1,62,59
M,1,63,23
M,1,64,54
M,1,65,87
M,1,66,29
M,1,67,59
M,1,68,36
M,1,69,70
M,1,70,50
M,1,71,66
M,1,72,95
M,1,73,75
M,1,74,33
M,1,75,73
M,1,76,94
M,1,77,18
M,1,78,54
M,1,79,52
M,1,80,52
M,1,81,92
M,1,82,100
M,1,83,46
M,1,84,98
M,1,85,30
M,1,86,24
M,1,87,49
M,1,88,40
M,1,89,50
M,1,90,20
M,1,91,8
M,1,92,28
M,1,93,0
M,1,94,38
M,1,95,84
M,1,96,22
M,1,97,55
M,1,98,1
M,1,99,44
M,2,0,96
M,2,1,95
M,2,2,61
M,2,3,91
M,2,4,36
M,2,5,50
M,2,6,20
M,2,7,35
M,2,8,6
M,2,9,31
M,2,10,30
M,2,11,17
M,2,12,57
M,2,13,58
M,2,14,40
M,2,15,24
M,2,16,3
M,2,17,60
M,2,18,26
M,2,19,56
M,2,20,4
M,2,21,62
M,2,22,20
M,2,23,73
M,2,24,47
M,2,25,70
M,2,26,53
M,2,27,82
M,2,28,35
M,2,29,28
M,2,30,53
M,2,31,2
M,2,32,65
M,2,33,84
M,2,34,66
M,2,35,63
M,2,36,21
M,2,37,14
M,2,38,4
M,2,39,44
M,2,40,2
M,2,41,68
M,2,42,42
M,2,43,69
M,2,44,86
M,2,45,68
M,2,46,17
M,2,47,5
M,2,48,31
M,2,49,49
M,2,50,53
M,2,51,77
M,2,52,10
M,2,53,31
M,2,54,80
M,2,55,70
M,2,56,37
M,2,57,27
M,2,58,70
M,2,59,19
M,2,60,83
M,2,61,26
M,2,62,90
M,2,63,72
M,2,64,87
M,2,65,38
M,2,66,50
M,2,67,97
M,2,68,68
M,2,69,66
M,2,70,44
M,2,71,3
M,2,72,27
M,2,73,55
M,2,74,55
M,2,75,21
M,2,76,83
M,2,77,33
M,2,78,29
M,2,79,86
M,2,80,64
M,2,81,9
M,2,82,91
M,2,83,46
M,2,84,62
M,2,85,29
M,2,86,27
M,2,87,97
M,2,88,77
M,2,89,36
M,2,90,81
M,2,91,48
M,2,92,84
M,2,93,47
M,2,94,1
M,2,95,12
M,2,96,60
M,2,97,15
M,2,98,31
M,2,99,96
M,3,0,57
M,3,1,46
M,3,2,7
M,3,3,66
M,3,4,63
M,3,5,84
M,3,6,8
M,3,7,2
M,3,8,52
M,3,9,76
M,3,10,45
M,3,11,98
M,3,12,62
M,3,13,15
M,3,14,36
M,3,15,87
M,3,16,20
M,3,17,50
M,3,18,12
M,3,19,1
M,3,20,9
M,3,21,22
M,3,22,59
M,3,23,28
M,3,24,83
M,3,25,13
M,3,26,73
M,3,27,82
M,3,28,88
M,3,29,73
M,3,30,24
M,3,31,46
M,3,32,1
M,3,33,23
M,3,34,100
M,3,35,13
M,3,36,54
M,3,37,48
M,3,38,35
M,3,39,90
M,3,40,16
M,3,41,83
M,3,42,65
M,3,43,28
M,3,44,64
M,3,45,93
M,3,46,77
M,3,47,15
M,3,48,47
M,3,49,29
M,3,50,40
M,3,51,60
M,3,52,59
M,3,53,39
M,3,54,76
M,3,55,96
M,3,56,1
M,3,57,92
M,3,58,9
M,3,59,98
M,3,60,43
M,3,61,30
M,3,62,27
M,3,63,33
M,3,64,3
M,3,65,96
M,3,66,89
M,3,67,11
M,3,68,96
M,3,69,100
M,3,70,63
M,3,71,80
M,3,72,79
M,3,73,95
M,3,74,46
M,3,75,39
M,3,76,57
M,3,77,66
M,3,78,22
M,3,79,49
M,3,80,40
M,3,81,49
M,3,82,10
M,3,83,57
M,3,84,76
M,3,85,17
M,3,86,28
M,3,87,55
M,3,88,92
M,3,89,22
M,3,90,43
M,3,91,16
M,3,92,66
M,3,93,89
M,3,94,74
M,3,95,12
M,3,96,74
M,3,97,89
M,3,98,30
M,3,99,25
M,4,0,96
M,4,1,61
M,4,2,14
M,4,3,88
M,4,4,48
M,4,5,7
M,4,6,17
M,4,7,57
M,4,8,23
M,4,9,57
M,4,10,89
M,4,11,65
M,4,12,51
M,4,13,43
M,4,14,15
M,4,15,71
M,4,16,37
M,4,17,56
M,4,18,40
M,4,19,6
M,4,20,44
M,4,21,62
M,4,22,15
M,4,23,20
M,4,24,37
M,4,25,35
M,4,26,49
M,4,27,12
M,4,28,44
M,4,29,37
M,4,30,15
M,4,31,94
M,4,32,10
M,4,33,99
M,4,34,78
M,4,35,87
M,4,36,98
M,4,37,44
M,4,38,50
M,4,39,8
M,4,40,85
M,4,41,54
M,4,42,81
M,4,43,44
M,4,44,28
M,4,45,51
M,4,46,21
M,4,47,30
M,4,48,98
M,4,49,3
M,4,50,20
M,4,51,53
M,4,52,28
M,4,53,55
M,4,54,45
M,4,55,94
M,4,56,8
M,4,57,38
M,4,58,14
M,4,59,59
M,4,60,1
M,4,61,64
M,4,62,27
M,4,63,44
M,4,64,40
M,4,65,9
M,4,66,25
M,4,67,45
M,4,68,93
M,4,69,65
M,4,70,22
M,4,71,90
M,4,72,6
M,4,73,13
M,4,74,56
M,4,75,51
M,4,76,47
M,4,77,37
M,4,78,80
M,4,79,36
M,4,80,84
M,4,81,30
M,4,82,54
M,4,83,34
M,4,84,58
M,4,85,29
M,4,86,74
M,4,87,2
M,4,88,86
M,4,89,9
M,4,90,70
M,4,91,8
M,4,92,83
M,4,93,9
M,4,94,37
M,4,95,41
M,4,96,63
M,4,97,20
M,4,98,0
M,4,99,55
M,5,0,20
M,5,1,87
M,5,2,42
M,5,3,75
M,5,4,45
M,5,5,74
M,5,6,35
M,5,7,46
M,5,8,80
M,5,9,57
M,5,10,96
M,5,11,89
M,5,12,93
M,5,13,38
M,5,14,50
M,5,15,31
M,5,16,40
